Club Logo,Preferred Foot,Flag,Work Rate,Weak Foot,Club,Contract Valid Until,Overall,International Reputation,Height,Photo,Potential,Nationality,Name,ID,Value,Body Type,Wage,Skill Moves,Real Face,Position,Weight,Special,Age
https://cdn.sofifa.com/teams/11/30.png,Right,https://cdn.sofifa.com/flags/pt.png,High/ High,3.0,Manchester United,2025,88.0,3.0,179cm,https://cdn.sofifa.com/players/212/198/22_60.png,89.0,Portugal,Bruno Fernandes,212198.0,€107.5M,Unique,€250K,4.0,Yes,"<span class=""pos pos18"">CAM",69kg,2341.0,26.0
https://cdn.sofifa.com/teams/21/30.png,Right,https://cdn.sofifa.com/flags/de.png,High/ Medium,4.0,FC Bayern München,2026,87.0,4.0,189cm,https://cdn.sofifa.com/players/209/658/22_60.png,88.0,Germany,L. Goretzka,209658.0,€93M,Unique,€140K,3.0,Yes,"<span class=""pos pos11"">LDM",82kg,2314.0,26.0
https://cdn.sofifa.com/teams/240/30.png,Right,https://cdn.sofifa.com/flags/uy.png,High/ Medium,4.0,Atlético de Madrid,2022,88.0,5.0,182cm,https://cdn.sofifa.com/players/176/580/22_60.png,88.0,Uruguay,L. Suárez,176580.0,€44.5M,Unique,€135K,3.0,Yes,"<span class=""pos pos24"">RS",83kg,2307.0,34.0
https://cdn.sofifa.com/teams/10/30.png,Right,https://cdn.sofifa.com/flags/be.png,High/ High,5.0,Manchester City,2025,91.0,4.0,181cm,https://cdn.sofifa.com/players/192/985/22_60.png,91.0,Belgium,K. De Bruyne,192985.0,€125.5M,Unique,€350K,4.0,Yes,"<span class=""pos pos13"">RCM",70kg,2304.0,30.0
https://cdn.sofifa.com/teams/481/30.png,Left,https://cdn.sofifa.com/flags/ar.png,High/ High,3.0,Sevilla FC,2024,84.0,2.0,172cm,https://cdn.sofifa.com/players/224/334/22_60.png,84.0,Argentina,M. Acuña,224334.0,€37M,Stocky (170-185),€45K,4.0,No,"<span class=""pos pos7"">LB",69kg,2292.0,29.0
https://cdn.sofifa.com/teams/21/30.png,Right,https://cdn.sofifa.com/flags/de.png,High/ Medium,4.0,FC Bayern München,2025,89.0,4.0,177cm,https://cdn.sofifa.com/players/212/622/22_60.png,90.0,Germany,J. Kimmich,212622.0,€108M,Lean (170-185),€160K,3.0,Yes,"<span class=""pos pos9"">RDM",75kg,2283.0,26.0
https://cdn.sofifa.com/teams/112387/30.png,Right,https://cdn.sofifa.com/flags/br.png,High/ High,4.0,Al Ahli,2024,83.0,3.0,183cm,https://cdn.sofifa.com/players/187/961/22_60.png,83.0,Brazil,Paulinho,187961.0,€28.5M,Normal (170-185),€61K,4.0,Yes,"<span class=""pos pos15"">LCM",80kg,2273.0,32.0
https://cdn.sofifa.com/teams/73/30.png,Right,https://cdn.sofifa.com/flags/nl.png,High/ High,4.0,Paris Saint-Germain,2024,84.0,3.0,175cm,https://cdn.sofifa.com/players/181/291/22_60.png,84.0,Netherlands,G. Wijnaldum,181291.0,€40.5M,Unique,€115K,4.0,Yes,"<span class=""pos pos28"">SUB",74kg,2271.0,30.0
https://cdn.sofifa.com/teams/22/30.png,Right,https://cdn.sofifa.com/flags/de.png,Medium/ High,4.0,Borussia Dortmund,2024,82.0,3.0,186cm,https://cdn.sofifa.com/players/208/333/22_60.png,83.0,Germany,E. Can,208333.0,€35M,Stocky (185+),€72K,3.0,Yes,"<span class=""pos pos28"">SUB",86kg,2270.0,27.0
https://cdn.sofifa.com/teams/240/30.png,Left,https://cdn.sofifa.com/flags/fr.png,Medium/ Medium,3.0,Atlético de Madrid,"Jun 30, 2022",85.0,4.0,176cm,https://cdn.sofifa.com/players/194/765/22_60.png,85.0,France,A. Griezmann,194765.0,€53M,Unique,€220K,4.0,Yes,"<span class=""pos pos26"">LS",73kg,2259.0,30.0
https://cdn.sofifa.com/teams/243/30.png,Right,https://cdn.sofifa.com/flags/hr.png,Medium/ Medium,4.0,Real Madrid CF,2022,87.0,4.0,172cm,https://cdn.sofifa.com/players/177/003/22_60.png,87.0,Croatia,L. Modrić,177003.0,€32M,Lean (170-185),€190K,4.0,Yes,"<span class=""pos pos13"">RCM",66kg,2253.0,35.0
https://cdn.sofifa.com/teams/240/30.png,Right,https://cdn.sofifa.com/flags/es.png,High/ Medium,4.0,Atlético de Madrid,2027,86.0,3.0,184cm,https://cdn.sofifa.com/players/226/161/22_60.png,89.0,Spain,Marcos Llorente,226161.0,€88M,Lean (170-185),€95K,3.0,Yes,"<span class=""pos pos12"">RM",74kg,2252.0,26.0
https://cdn.sofifa.com/teams/73/30.png,Right,https://cdn.sofifa.com/flags/es.png,High/ Medium,3.0,Paris Saint-Germain,2023,88.0,4.0,184cm,https://cdn.sofifa.com/players/155/862/22_60.png,88.0,Spain,,155862.0,€24M,Unique,€115K,3.0,Yes,"<span class=""pos pos6"">LCB",82kg,2251.0,35.0
https://cdn.sofifa.com/teams/243/30.png,Left,https://cdn.sofifa.com/flags/at.png,Medium/ Medium,4.0,Real Madrid CF,2026,84.0,4.0,180cm,https://cdn.sofifa.com/players/197/445/22_60.png,84.0,Austria,D. Alaba,197445.0,€35.5M,Normal (170-185),€195K,3.0,Yes,"<span class=""pos pos7"">LB",78kg,2247.0,29.0
